Facility Name,site_address,city,latitude,longitude
DOLLAR GENERAL #14771,3349 REFUGEE RD,COLUMBUS,39.9166812,-82.9086128
DOLLAR GENERAL #17280,1862 HARD RD,COLUMBUS,40.1177204,-83.0657735
DOLLAR GENERAL #3235,1959 MORSE RD,COLUMBUS,40.059757,-82.9663025
DOLLAR GENERAL #3341,3221 S HIGH ST,COLUMBUS,39.8964734,-82.9953944
DOLLAR GENERAL #7676,1260 DEMOREST RD,COLUMBUS,39.9289613,-83.0902347
DOLLAR GENERAL #8184,4245 MACSWAY AVE,COLUMBUS,39.923554,-82.882556
DOLLAR GENERAL #8351,1660 E DUBLIN GRANVILLE RD,COLUMBUS,40.0871643,-82.9736563
DOLLAR GENERAL #8357,1237 MORSE RD,COLUMBUS,40.0598274,-82.9867539
DOLLAR GENERAL #8422,5680 CLEVELAND AVE,COLUMBUS,40.0847608,-82.9509758
DOLLAR GENERAL #9923,1130 NORTON RD,COLUMBUS,39.9289984,-83.144018
DOLLAR GENERAL STORE #16681,6335 REFUGEE RD,CANAL WINCHESTER,39.9106905,-82.8265564
DOLLAR GENERAL STORE #17278,5950 E LIVINGSTON AVE,COLUMBUS,39.9423139,-82.8359643
DOLLAR GENERAL STORE #17396,3561 SULLIVANT AVE,COLUMBUS,39.942598,-83.0938967
DOLLAR GENERAL STORE #20240,1350 W BROAD ST,COLUMBUS,39.9579832,-83.0362225
DOLLAR GENERAL STORE #20932,2556 LOCKBOURNE RD,COLUMBUS,39.9128947,-82.9660739
DOLLAR GENERAL STORE #21592,166 S HIGH ST,COLUMBUS,39.8875377,-82.9953328
DOLLAR GENERAL STORE #22948,415 NORTON RD,COLUMBUS,39.9432475,-83.1418998
DOLLAR GENERAL STORE #23287,1431 CLEVELAND AVE,COLUMBUS,39.9943057,-82.9814133
DOLLAR GENERAL#15490,1500 E LIVINGSTON AVE,COLUMBUS,39.949133,-82.957128
DOLLAR PLUS,1975 CLEVELAND AVE,COLUMBUS,40.0067052,-82.9717806
DOLLAR PLUS,993 MT VERNON AVE,COLUMBUS,39.9717141,-82.9752735
DONS QUICK STOP,1724 CLEVELAND AVE,COLUMBUS,40.0009095,-82.9752084
DOWNTOWN CONVENIENCE,26 N HIGH ST,COLUMBUS,39.96300943,-83.00071848
DOWNTOWN MOBIL,215 E RICH ST,COLUMBUS,39.9580241,-82.994218
DREAMS ON HIGH ST,1217 N HIGH ST,COLUMBUS,39.9872629,-83.0056535
DRIVE N GO DRIVE THRU,4827 E MAIN ST,COLUMBUS,39.956558,-82.995941
DRIVE THRU 1,1201 N WILSON RD,COLUMBUS,39.9760406,-83.100803
DRUG MART #65,8951 S OLD STATE RD,LEWIS CENTER,40.1515741,-82.9960289
DUBLIN GRANVILLE SUNOCO,1623 E DUBLIN GRANVILLE RD,COLUMBUS,40.0866672,-82.9749046
DUCHESS #1610/E  BROAD & NEW ALBANY RD,7040 E BROAD ST,COLUMBUS,39.982793,-82.814202
DUCHESS #1634 EASTON,4024 MORSE RD,COLUMBUS,40.0574543,-82.9092229
DUCHESS COLUMBUS #1631,4835 N HAMILTON RD,COLUMBUS,40.0557515,-82.8641513
DUCHESS DUBLIN & GRANDVIEW #1616,1090 DUBLIN RD,COLUMBUS,40.0877519,-82.989252
DUCHESS E BROAD ST #1619,825 E BROAD ST,COLUMBUS,39.9645005,-82.9782868
DUCHESS HIGH & GREENLAWN #1615,1091 S HIGH ST,COLUMBUS,39.9397004,-82.9969972
DUCHESS I-70 & ROME HILLIARD #1623,925 HILLIARD ROME RD,COLUMBUS,39.9725465,-83.1500333
DUCHESS I-71 & POLARIS PKWY #1622,1925 POLARIS PKWY,COLUMBUS,40.1412767,-82.97862
DUCHESS MORSE RD #1618,935 MORSE RD,COLUMBUS,40.0614156,-82.9954083
DUCHESS OLENTANGY & 5TH #1612,1347 OLENTANGY RIVER RD,COLUMBUS,39.987618,-83.0263647
DUCHESS POLARIS FASHION MALL #1633,1060 POLARIS PKWY,COLUMBUS,40.1462627,-82.9913535
DUCHESS SHOPPE EAST 5TH AVENUE #1259,2365 E 5TH AVE,COLUMBUS,39.9856038,-82.9412106
DUCHESS SHOPPE HIGH & HENDERSON #1264,4387 N HIGH ST,COLUMBUS,40.05154,-83.02022
DUCHESS SHOPPE LINWORTH #1271,2230 W DUBLIN GRANVILLE RD,WORTHINGTON,40.0893929,-83.0353242
DUCHESS SHOPPE OLENTANGY & BETHEL #1267,5067 OLENTANGY RIVER RD,COLUMBUS,40.0634854,-83.0382654
DUCHESS SHOPPE S HIGH ST #1265,4569 S HIGH ST,COLUMBUS,39.866576,-83.0050745
DUCHESS SHOPPE SANCUS BLVD #1270,7525 SANCUS BLVD,WORTHINGTON,40.1184781,-82.9961365
DUCHESS SHOPPE WILSON RD #1260,850 WILSON RD,COLUMBUS,39.9712028,-83.0968744
DUCHESS TUTTLE CROSSING #1625, 5099 TUTTLE CROSSING BLV ,DUBLIN,40.07616294,-83.13160835
DUCHESS WORTHINGTON #1628,7141 N HIGH ST,WORTHINGTON,40.1065783,-83.0170729
DUKE/DUCHESS #1626,7310 SAWMILL RD,COLUMBUS,40.1144802,-83.0904557
E & E MARKET,778 E HUDSON ST,COLUMBUS,40.0147337,-82.989659
E & S MARKET,1800 E HUDSON ST,COLUMBUS,40.0135091,-82.9616722
EAGLE FUEL,3851 E LIVINGSTON AVE,COLUMBUS,39.9455731,-82.8929598
EAKIN ROAD MARKET,2220 EAKIN RD,COLUMBUS,39.9338068,-83.0571754
EAST MAIN STREET SMOKESHOP & CARRYOUT,2914 E MAIN ST,COLUMBUS,39.956817,-82.9205646
EAST SIDE MARKET,2110 LEONARD AVE,COLUMBUS,39.988595,-82.948509
EASTLAND FOOD MART,2213 COURTRIGHT RD,COLUMBUS,39.9268804,-82.8986892
EASTLAND SHELL,2191 S HAMILTON RD,COLUMBUS,39.9293172,-82.8794559
EASTLAND SUNOCO MINI MART,2190 S HAMILTON RD,COLUMBUS,39.929485,-82.8792259
EASY MART,4366 KARL RD,COLUMBUS,40.0558263,-82.9752937
ECKELS MARKET,1943 HARD RD,COLUMBUS,40.116826,-83.0680069
EL DORADO GAMING SCIOTO DOWNS - THE TERRACE,6000 S HIGH ST,COLUMBUS,39.8476591,-83.0017382
EPIC PUFF,4332 N HIGH ST,COLUMBUS,40.0505011,-83.020071
EV MARKET PLACE,4984 GENDER RD,CANAL WINCHESTER,39.88100884,-82.82575137
EVERGREEN MARKET,915 S JAMES RD,COLUMBUS,39.9527972,-82.9152586
EXPRESS BEVERAGE CENTER,348 WILLIAMS RD,COLUMBUS,39.8915974,-82.9886956
EXPRESS DRIVE THRU,1925 LOCKBOURNE RD,COLUMBUS,39.925958,-82.96524
EXPRESS DT,1320 E HUDSON ST,COLUMBUS,40.0140763,-82.9748704
EXPRESS MARKET,900 E 5TH AVE,COLUMBUS,39.986192,-82.980757
F O E 2252,3800 WESTERVILLE RD,COLUMBUS,40.0475784,-82.9457044
FAMILY CARRYOUT,940 E LIVINGSTON AVE,COLUMBUS,39.949892,-82.972657
FAMILY DOLLAR #20978,865 PARSONS AVE,COLUMBUS,39.9459107,-82.9831699
FAMILY DOLLAR #28449,2746 BRICE RD,REYNOLDSBURG,39.9253296,-82.8292399
FAMILY DOLLAR #30063,1900 E LIVINGSTON AVE,COLUMBUS,39.948607,-82.946791
FAMILY DOLLAR #30064,6480 WINCHESTER PIKE,CANAL WINCHESTER,39.8610384,-82.8259369
FAMILY DOLLAR #30716,2383 W BROAD ST,COLUMBUS,39.95534,-83.0640608
FAMILY DOLLAR #31024,1092 E MAIN ST,COLUMBUS,39.9579384,-82.9703041
FAMILY DOLLAR #31767,2180 HARRISBURG PIKE,GROVE CITY,39.9141602,-83.0658117
FAMILY DOLLAR #32046,2250 COURTRIGHT RD,COLUMBUS,39.9262443,-82.8985354
FAMILY DOLLAR #33958,3307 E BROAD ST,COLUMBUS,39.9719975,-82.9127695
FAMILY DOLLAR STORE  #21304,629 HARRISBURG PIKE,COLUMBUS,39.9447623,-83.0374982
FAMILY DOLLAR STORE #20973,2052 LOCKBOURNE RD,COLUMBUS,39.9234819,-82.9652159
FAMILY DOLLAR STORE #22007,3631 SULLIVANT AVE,COLUMBUS,39.942483,-83.096118
FAMILY DOLLAR STORE #23980,2175 EAKIN RD,COLUMBUS,39.9317684,-83.0535857
FAMILY DOLLAR STORE #24540,937 E DUBLIN GRANVILLE RD,COLUMBUS,40.0877113,-82.9922297
FAMILY DOLLAR STORE #24764,2485 E DUBLIN GRANVILLE RD,COLUMBUS,40.0850666,-82.951764
FAMILY DOLLAR STORE #25765,2777 SULLIVANT AVE,COLUMBUS,39.943691,-83.072096
FAMILY DOLLAR STORE #26200,5061 ROBERTS RD,COLUMBUS,40.0033108,-83.1432268
FAMILY DOLLAR STORE #26750,1600 LOCKBOURNE RD,COLUMBUS,39.933238,-82.964426
FAMILY DOLLAR STORE #26925,3577 E LIVINGSTON AVE,COLUMBUS,39.94614,-82.9006302
FAMILY DOLLAR STORE #27108,1159 W BROAD ST,COLUMBUS,39.958416,-83.031208
FAMILY DOLLAR STORE #28375,1792 E DUBLIN GRANVILLE RD,COLUMBUS,40.0870282,-82.970392
FAMILY DOLLAR STORE #30095,3619 S HAMILTON RD,COLUMBUS,39.9970797,-82.8683894
FAMILY DOLLAR STORE #31550,2191 E 5TH AVE,COLUMBUS,39.9857901,-82.945992
FAMILY DOLLAR STORES #30703,1449 OAKLAND PARK AVE,COLUMBUS,40.031353,-82.9745711
FAMILY DOLLAR STORES #32242,1541 SCHROCK RD,COLUMBUS,40.1052061,-82.9752058
FAMILY DRIVE THRU,1535 E LIVINGSTON AVE,COLUMBUS,39.94892,-82.956124
FAST MART,3495 PARSONS AVE,COLUMBUS,39.891327,-82.987086
FAST STOP,3245 E BROAD ST,COLUMBUS,39.9718301,-82.9142798
FINE FAIR FOOD,1547 CLEVELAND AVE,COLUMBUS,39.99724,-82.9781015
FINE FOOD MART,1333 LOCKBOURNE RD,COLUMBUS,39.938445,-82.964208
FIRST TOBACCO DISCOUNTERS,5691 EMPORIUM SQ,COLUMBUS,40.0861687,-82.9471832
FISHER ROAD BELL STORE #124,5501 FISHER RD,COLUMBUS,39.9725368,-83.1492415
FOODMART EXPRESS,2714 SULLIVANT AVE,COLUMBUS,39.9440182,-83.0712445
FRANKLINTON MARKET,439 W RICH ST,COLUMBUS,39.9560677,-83.0113702
FYRE FLAME SMOKE SHOP,3192 N HIGH ST,COLUMBUS,40.0272472,-83.0146043
GALLOWAY WINE AND SPIRITS,950 GALLOWAY RD,GALLOWAY,39.93074816,-83.15975208
GAS LITE DRIVE THRU,3446 SULLIVANT AVE,COLUMBUS,39.9429123,-83.0909752
GATEWAY MART,207 E 11TH AVE,COLUMBUS,39.9944263,-83.0012188
GEORGESVILLE SHELL,1240 GEORGESVILLE RD,COLUMBUS,39.9281548,-83.1167094
GET GO #3504,2888 BETHEL RD,COLUMBUS,40.0656229,-83.0958588
GET GO #3512,2845 N HIGH ST,COLUMBUS,40.0200259,-83.013229
GET GO #3513,6825 E BROAD ST,COLUMBUS,39.9817026,-82.8225184
GET GO #3517,2920 STELZER RD,COLUMBUS,40.0319045,-82.9103025
GET GO #3528,5465 NEW ALBANY RD W,COLUMBUS,40.0957191,-82.8255471
GET GO #3537,3765 S HAMILTON RD,GROVEPORT,39.8702117,-82.8848014
GET GO #3539,820 W 3RD AVE,COLUMBUS,39.9847699,-83.0267298
GET N GO DRIVE THRU,3612 LOCKBOURNE RD,COLUMBUS,39.8876412,-82.9678928
GIANT EAGLE #6504,4747 SAWMILL RD,COLUMBUS,40.064056,-83.0958109
GIANT EAGLE #6512,2801 N HIGH ST,COLUMBUS,40.0190734,-83.0133857
GIANT EAGLE #6513,6867 E BROAD ST,COLUMBUS,39.9805123,-82.8204853
GIANT EAGLE #6517,2900 STELZER RD,COLUMBUS,40.0320809,-82.9081422
GIANT EAGLE #6528,5461 NEW ALBANY RD W,COLUMBUS,40.0932019,-82.8256014
GIANT EAGLE #6529,6700 HAYDEN RUN RD,HILLIARD,40.0612545,-83.1798657
GIANT EAGLE #6537,3841 S HAMILTON RD,GROVEPORT,39.8868011,-82.8831674
GIANT EAGLE #6539,840 W 3RD AVE,COLUMBUS,39.9861201,-83.0278966
GILLIGAN EXXON/SUBWAY #1003,1866 SUMMIT ST,COLUMBUS,40.0011853,-83.0007913
GILLIGAN SUBWAY/EXXON #1002,2187 NEIL AVE,COLUMBUS,40.0066408,-83.0146003
GLEASON MARKET,1004 W RICH ST,COLUMBUS,39.9544563,-83.0264821
GOLDEN MARKET,2185 W MOUND ST,COLUMBUS,39.940216,-83.0560434
GOPUFF,1260 W MOUND ST,COLUMBUS,39.9468425,-83.0321557
GOPUFF,5235 N HIGH ST,COLUMBUS,40.0692925,-83.0192447
GOVERNOR'S CIGAR LOUNGE GRANDVIEW,1033 DUBLIN RD,COLUMBUS,40.0876627,-82.9909642
GRANDVIEW CARRYOUT,1355 GRANDVIEW AVE,COLUMBUS,39.985376,-83.0450242
GRANDVIEW SUNOCO,648 GRANDVIEW AVE,COLUMBUS,39.9709113,-83.0458009
GREAT MIAMI MARKET,5121 E MAIN ST,COLUMBUS,39.956558,-82.995941
GREAT VAPES,1294 BETHEL RD,COLUMBUS,40.063687,-83.05359
GROOVY GLASSWARE,6255 E MAIN ST,COLUMBUS,39.9545405,-82.8312197
GULF MART,2676 CLEVELAND AVE,COLUMBUS,40.021611,-82.96471
H AND N MARKET,1799 E HUDSON ST,COLUMBUS,40.0133461,-82.9617262
HALL MARKET,5526 HALL RD,COLUMBUS,39.9298415,-83.1178699
HALL MART FOOD STORE,1448 COURTRIGHT RD,COLUMBUS,39.942785,-82.8972525
HAPPY MARKET,1427 S HAMILTON RD,COLUMBUS,39.9297606,-82.8792468
