Facility Name,site_address,city,latitude,longitude
CONVENIENT PLUS FOOD MART,1541 FREBIS AVE,COLUMBUS,39.9340217,-82.9543037
CONVENIENT PLUS FOOD MART,5435 E LIVINGSTON AVE,COLUMBUS,39.943108,-82.8497184
COOKS,1225 OAKLAND PARK AVE,COLUMBUS,40.0318118,-82.9808361
CORNER STONE CRAFT BEER & WINE,61 PARSONS AVE,COLUMBUS,39.9629627,-82.98178
CULEBRA CIGARS COMPANY,1786 W 5TH AVE,COLUMBUS,39.9893105,-83.0543845
DAIRY LAND EXPRESS,2555 PETZINGER RD,COLUMBUS,39.929791,-82.925437
DAIRY MART #5460,4251 KIMBERLY PKWY,COLUMBUS,39.9259249,-82.8825096
DAIRY MART #5464,4242 MORSE RD,COLUMBUS,40.057529,-82.8982823
DARBY SUNOCO,4537 SCIOTO DARBY RD,HILLIARD,40.0179945,-83.1370154
DE STORE,5273 GENDER RD,CANAL WINCHESTER,39.8591131,-82.8278852
DEMOREST BEER DOCK,1232 DEMOREST RD,COLUMBUS,39.9298147,-83.0901791
DEMOREST MARKET,1425 DEMOREST RD,COLUMBUS,39.9212818,-83.0938341
DOLLAR GENERAL #3235,1959 MORSE RD,COLUMBUS,40.059757,-82.9663025
DOLLAR GENERAL #3341,3221 S HIGH ST,COLUMBUS,39.8964734,-82.9953944
DOLLAR GENERAL #8184,4245 MACSWAY AVE,COLUMBUS,39.923554,-82.882556
DOLLAR GENERAL #8357,1237 MORSE RD,COLUMBUS,40.0598274,-82.9867539
DOLLAR GENERAL #06035,3150 HILLIARD ROME RD,COLUMBUS,39.9760842,-83.150177
DOLLAR GENERAL #10181,3636 LOCKBOURNE RD,COLUMBUS,39.887546,-82.9679014
DOLLAR GENERAL #10953,745 GEORGESVILLE RD,COLUMBUS,39.937286,-83.1132244
DOLLAR GENERAL #12259,4050 ALUM CREEK DR,COLUMBUS,39.943282,-82.9445495
DOLLAR GENERAL #13063,2012 LOCKBOURNE RD,COLUMBUS,39.924014,-82.9651784
DOLLAR GENERAL #14198,1596 PARSONS AVE,COLUMBUS,39.9309719,-82.9838601
DOLLAR GENERAL #14679,2100 SULLIVANT AVE,COLUMBUS,39.947107,-83.054784
DOLLAR GENERAL #14771,3349 REFUGEE RD,COLUMBUS,39.9166812,-82.9086128
DOLLAR GENERAL #17280,1862 HARD RD,COLUMBUS,40.1177204,-83.0657735
DOLLAR GENERAL STORE #16681,6335 REFUGEE RD,CANAL WINCHESTER,39.9106905,-82.8265564
DOLLAR GENERAL STORE #17278,5950 E LIVINGSTON AVE,COLUMBUS,39.9423139,-82.8359643
DOLLAR GENERAL STORE #17396,3561 SULLIVANT AVE,COLUMBUS,39.942598,-83.0938967
DOLLAR GENERAL STORE #20932,2556 LOCKBOURNE RD,COLUMBUS,39.9128947,-82.9660739
DOLLAR GENERAL STORE #22948,415 NORTON RD,COLUMBUS,39.9432475,-83.1418998
DOLLAR GENERAL STORE #23287,1431 CLEVELAND AVE,COLUMBUS,39.9943057,-82.9814133
DOLLAR PLUS,993 MT VERNON AVE,COLUMBUS,39.9717141,-82.9752735
DOLLAR PLUS,1975 CLEVELAND AVE,COLUMBUS,40.0067052,-82.9717806
DONS QUICK STOP,1724 CLEVELAND AVE,COLUMBUS,40.0009095,-82.9752084
DOWNTOWN MOBIL,215 E RICH ST,COLUMBUS,39.9580241,-82.994218
DREAMS ON HIGH ST,1217 N HIGH ST,COLUMBUS,39.9872629,-83.0056535
DRIVE THRU 1,1201 N WILSON RD,COLUMBUS,39.9760406,-83.100803
DRUG MART #65,8951 S OLD STATE RD,LEWIS CENTER,40.1515741,-82.9960289
DUBLIN GRANVILLE SUNOCO,1623 E DUBLIN GRANVILLE RD,COLUMBUS,40.0866672,-82.9749046
DUCHESS #1610/E  BROAD & NEW ALBANY RD,7040 E BROAD ST,COLUMBUS,39.982793,-82.814202
DUCHESS #1634 EASTON,4024 MORSE RD,COLUMBUS,40.0574543,-82.9092229
DUCHESS COLUMBUS #1631,4835 N HAMILTON RD,COLUMBUS,40.0557515,-82.8641513
DUCHESS DUBLIN & GRANDVIEW #1616,1090 DUBLIN RD,COLUMBUS,40.0877519,-82.989252
DUCHESS I-70 & ROME HILLIARD #1623,925 HILLIARD ROME RD,COLUMBUS,39.9725465,-83.1500333
DUCHESS I-71 & POLARIS PKWY #1622,1925 POLARIS PKWY,COLUMBUS,40.1412767,-82.97862
DUCHESS MORSE RD #1618,935 MORSE RD,COLUMBUS,40.0614156,-82.9954083
DUCHESS OLENTANGY & 5TH #1612,1347 OLENTANGY RIVER RD,COLUMBUS,39.987618,-83.0263647
DUCHESS POLARIS FASHION MALL #1633,1060 POLARIS PKWY,COLUMBUS,40.1462627,-82.9913535
DUCHESS SHOPPE EAST 5TH AVENUE #1259,2365 E 5TH AVE,COLUMBUS,39.9856038,-82.9412106
DUCHESS SHOPPE HIGH & HENDERSON #1264,4387 N HIGH ST,COLUMBUS,40.05154,-83.02022
DUCHESS SHOPPE LINWORTH #1271,2230 W DUBLIN GRANVILLE RD,WORTHINGTON,40.0893929,-83.0353242
DUCHESS SHOPPE OLENTANGY & BETHEL #1267,5067 OLENTANGY RIVER RD,COLUMBUS,40.0634854,-83.0382654
DUCHESS SHOPPE SANCUS BLVD #1270,7525 SANCUS BLVD,WORTHINGTON,40.1184781,-82.9961365
DUCHESS WORTHINGTON #1628,7141 N HIGH ST,WORTHINGTON,40.1065783,-83.0170729
DUKE/DUCHESS #1626,7310 SAWMILL RD,COLUMBUS,40.1144802,-83.0904557
E & E MARKET,778 E HUDSON ST,COLUMBUS,40.0147337,-82.989659
EAGLE FUEL,3851 E LIVINGSTON AVE,COLUMBUS,39.9455731,-82.8929598
EAKIN ROAD MARKET,2220 EAKIN RD,COLUMBUS,39.9338068,-83.0571754
EAST SIDE MARKET,2110 LEONARD AVE,COLUMBUS,39.988595,-82.948509
EASTLAND FOOD MART,2213 COURTRIGHT RD,COLUMBUS,39.9268804,-82.8986892
EASTLAND SHELL,2191 S HAMILTON RD,COLUMBUS,39.9293172,-82.8794559
EASY MART,4366 KARL RD,COLUMBUS,40.0558263,-82.9752937
ECKELS MARKET,1943 HARD RD,COLUMBUS,40.116826,-83.0680069
EPIC PUFF,4332 N HIGH ST,COLUMBUS,40.0505011,-83.020071
EXPRESS BEVERAGE CENTER,348 WILLIAMS RD,COLUMBUS,39.8915974,-82.9886956
EXPRESS DRIVE THRU,1925 LOCKBOURNE RD,COLUMBUS,39.925958,-82.96524
F O E 2252,3800 WESTERVILLE RD,COLUMBUS,40.0475784,-82.9457044
FAMILY DOLLAR #20978,865 PARSONS AVE,COLUMBUS,39.9459107,-82.9831699
FAMILY DOLLAR #28449,2746 BRICE RD,REYNOLDSBURG,39.9253296,-82.8292399
FAMILY DOLLAR #30063,1900 E LIVINGSTON AVE,COLUMBUS,39.948607,-82.946791
FAMILY DOLLAR #30064,6480 WINCHESTER PIKE,CANAL WINCHESTER,39.8610384,-82.8259369
FAMILY DOLLAR #31767,2180 HARRISBURG PIKE,GROVE CITY,39.9141602,-83.0658117
FAMILY DOLLAR #32046,2250 COURTRIGHT RD,COLUMBUS,39.9262443,-82.8985354
FAMILY DOLLAR STORE  #21304,629 HARRISBURG PIKE,COLUMBUS,39.9447623,-83.0374982
FAMILY DOLLAR STORE #22007,3631 SULLIVANT AVE,COLUMBUS,39.942483,-83.096118
FAMILY DOLLAR STORE #23980,2175 EAKIN RD,COLUMBUS,39.9317684,-83.0535857
FAMILY DOLLAR STORE #24764,2485 E DUBLIN GRANVILLE RD,COLUMBUS,40.0850666,-82.951764
FAMILY DOLLAR STORE #25765,2777 SULLIVANT AVE,COLUMBUS,39.943691,-83.072096
FAMILY DOLLAR STORE #26200,5061 ROBERTS RD,COLUMBUS,40.0033108,-83.1432268
FAMILY DOLLAR STORE #28375,1792 E DUBLIN GRANVILLE RD,COLUMBUS,40.0870282,-82.970392
FAMILY DOLLAR STORE #31550,2191 E 5TH AVE,COLUMBUS,39.9857901,-82.945992
FAMILY DOLLAR STORES #30703,1449 OAKLAND PARK AVE,COLUMBUS,40.031353,-82.9745711
FAMILY DOLLAR STORES #32242,1541 SCHROCK RD,COLUMBUS,40.1052061,-82.9752058
FAST MART,3495 PARSONS AVE,COLUMBUS,39.891327,-82.987086
FAST STOP,3245 E BROAD ST,COLUMBUS,39.9718301,-82.9142798
FINE FAIR FOOD,1547 CLEVELAND AVE,COLUMBUS,39.99724,-82.9781015
FINE FOOD MART,1333 LOCKBOURNE RD,COLUMBUS,39.938445,-82.964208
FISHER ROAD BELL STORE #124,5501 FISHER RD,COLUMBUS,39.9725368,-83.1492415
FOODMART EXPRESS,2714 SULLIVANT AVE,COLUMBUS,39.9440182,-83.0712445
FRANKLINTON MARKET,439 W RICH ST,COLUMBUS,39.9560677,-83.0113702
GAS LITE DRIVE THRU,3446 SULLIVANT AVE,COLUMBUS,39.9429123,-83.0909752
GEORGESVILLE SHELL,1240 GEORGESVILLE RD,COLUMBUS,39.9281548,-83.1167094
GET GO #3504,2888 BETHEL RD,COLUMBUS,40.0651937,-83.0957642
GET GO #3512,2845 N HIGH ST,COLUMBUS,40.0200259,-83.013229
GET GO #3513,6825 E BROAD ST,COLUMBUS,39.9817026,-82.8225184
GET GO #3517,2920 STELZER RD,COLUMBUS,40.0319045,-82.9103025
GET GO #3528,5465 NEW ALBANY RD W,COLUMBUS,40.0957191,-82.8255471
GIANT EAGLE #6512,2801 N HIGH ST,COLUMBUS,40.0190734,-83.0133857
GIANT EAGLE #6513,6867 E BROAD ST,COLUMBUS,39.9805123,-82.8204853
GIANT EAGLE #6517,2900 STELZER RD,COLUMBUS,40.0320809,-82.9081422
GIANT EAGLE #6528,5461 NEW ALBANY RD W,COLUMBUS,40.0932019,-82.8256014
GIANT EAGLE #6537,3841 S HAMILTON RD,GROVEPORT,39.8868011,-82.8831674
GILLIGAN SUBWAY/EXXON #1002,2187 NEIL AVE,COLUMBUS,40.0066408,-83.0146003
GLEASON MARKET,1004 W RICH ST,COLUMBUS,39.9544563,-83.0264821
GOVERNOR'S CIGAR LOUNGE GRANDVIEW,1033 DUBLIN RD,COLUMBUS,40.0876627,-82.9909642
GRANDVIEW CARRYOUT,1355 GRANDVIEW AVE,COLUMBUS,39.985376,-83.0450242
GREAT VAPES,1294 BETHEL RD,COLUMBUS,40.063687,-83.05359
GROOVY GLASSWARE,6255 E MAIN ST,COLUMBUS,39.9545405,-82.8312197
H AND N MARKET,1799 E HUDSON ST,COLUMBUS,40.0133461,-82.9617262
HALL MART FOOD STORE,1448 COURTRIGHT RD,COLUMBUS,39.942785,-82.8972525
HARRISBURG PIKE SUNOCO,1305 HARRISBURG PIKE,COLUMBUS,39.93128,-83.049466
HEADIES HIDEOUT,114 PARSONS AVE,COLUMBUS,39.9618786,-82.9816749
HERBERT MARKET,1121 SULLIVANT AVE,COLUMBUS,39.9516856,-83.0294377
HIGH UP HEAD SHOP,1434 N HIGH ST,COLUMBUS,39.9916321,-83.0062624
HILLIARD SMOKE HOUSE,5439 ROBERTS RD,HILLIARD,40.0031484,-83.177343
HIPPIE HUT SMOKE SHOP,1551 N HIGH ST,COLUMBUS,39.993942,-83.006959
HOLLYWOOD CASINO,200 GEORGESVILLE RD,COLUMBUS,39.9491246,-83.1080802
HOLLYWOOD SMOKE AND VAPE,3951 W BROAD ST,COLUMBUS,39.959583,-83.0221285
HOME MARKET,2386 GROVEPORT RD,COLUMBUS,39.9145551,-82.9812352
HOUSE OF CIGAR,7099 HUNTLEY RD,COLUMBUS,40.0949744,-82.9980639
HUMBLE HEALTH,4430 WESTERVILLE RD,COLUMBUS,40.062085,-82.934909
HUMIDOR PLUS,6157 CLEVELAND AVE,COLUMBUS,40.099015,-82.950111
INDRENI MART GROCERY,1565 E DUBLIN GRANVILLE RD,COLUMBUS,40.0854661,-82.9775025
ISLANDS DRIVE THRU,2157 HILLIARD ROME RD,HILLIARD,40.0091354,-83.1535903
JAYS DRIVE THRU,766 PARSONS AVE,COLUMBUS,39.9481117,-82.982369
JEDDO HOOKAH,5615 CLEVELAND AVE,COLUMBUS,40.0846705,-82.951828
JERUSALEM HALAL MARKET,5410 ROBERTS RD,HILLIARD,40.0031484,-83.177343
JR J'S DRIVE THRU,2179 PARKWOOD AVE,COLUMBUS,40.0127295,-82.9566487
JULIAN FOODS,3277 W BROAD ST,COLUMBUS,39.9542037,-83.0877411
KARL ROAD MARKET,3663 KARL RD,COLUMBUS,40.0413675,-82.9778072
KEYSTONE PUB,1081 GEMINI PL,COLUMBUS,40.1482447,-82.9855472
KHAN SMOKE AND BEER SHOP,6044 CHANNINGWAY BLVD,COLUMBUS,39.9384054,-82.8318495
KROGER #519,1585 GEORGESVILLE SQ DR,COLUMBUS,39.9201698,-83.121373
KROGER #598,3600 SOLDANO BLVD,COLUMBUS,39.9567329,-83.0969042
KROGER #818,2090 CROWN PLAZA DR,COLUMBUS,40.0658006,-83.0734763
KROGER #839,1177 POLARIS PKWY,COLUMBUS,40.14106,-82.98897
KROGER #853,7000 E BROAD ST,COLUMBUS,39.984451,-82.8161623
KROGER #867,2525 HILLIARD ROME RD,HILLIARD,40.0025249,-83.1562313
KROGER #879,1425 WORTHINGTON CTR DR,COLUMBUS,40.122799,-82.9794176
KROGER #893,1441 PARSONS AVE,COLUMBUS,39.9343212,-82.9854247
KROGER #942,1375 CHAMBERS RD,COLUMBUS,39.9925518,-83.043563
KROGER #971,3417 N HIGH ST,COLUMBUS,40.0321482,-83.0176395
KROGER #990,2161 EAKIN RD,COLUMBUS,39.9311546,-83.0540335
KROGER #N-514,3588 GENDER RD,COLUMBUS,39.9084369,-82.8243436
KROGER #N-819,199 GRACELAND BLVD,COLUMBUS,40.0651105,-83.0253912
KROGER FUEL CENTER #519,1585 GEORGESVILLE SQUARE DR,COLUMBUS,39.9201698,-83.121373
KROGER FUEL CENTER #598,85 N WILSON RD,COLUMBUS,39.9557176,-83.0942805
KROGER FUEL CENTER #818,2090 CROWN PLAZA DR,COLUMBUS,40.0658006,-83.0734763
KROGER FUEL CENTER #839,1177 POLARIS PKWY,COLUMBUS,40.14106,-82.98897
KROGER FUEL CENTER #853,77 N REYNOLDSBURG NEW ALBANY RD,COLUMBUS,39.9871586,-82.8158734
KROGER FUEL CENTER #879,1425 WORTHINGTON CENTRE DR,COLUMBUS,40.122799,-82.9794176
KROGER FUEL CENTER #893,1415 PARSONS AVE,COLUMBUS,39.9344343,-82.9841164
KROGER FUEL CENTER #990,2161 EAKIN RD,COLUMBUS,39.9311546,-83.0540335
KROGER FUEL CENTER #N-514,3598 GENDER RD,CANAL WINCHESTER,39.8591131,-82.8278852
KROGER N593,1745 MORSE RD,COLUMBUS,40.0582738,-82.9729593
KROGERS FUEL CENTER #867,2525 HILLIARD-ROME RD,HILLIARD,40.0025249,-83.1562313
LA CHAVETA CIGAR LOUNGE,3293 N HIGH ST,COLUMBUS,40.0292868,-83.0154495
LA MICHOACANA MARKET #2,3629 SULLIVANT AVE,COLUMBUS,39.9425,-83.095798
LA MICHOACANA MEXICAN MARKET #1,3881 CLEVELAND AVE,COLUMBUS,40.0480904,-82.9556676
LAYLA'S SMOKE SHOP,2498 SUMMIT ST,COLUMBUS,40.0145512,-82.999881
LION'S DEN,3586 W DUBLIN GRANVILLE RD,COLUMBUS,40.0945734,-83.0859103
LION'S DEN,4315 KIMBERLY PKWY,COLUMBUS,39.9258679,-82.8815361
LION'S DEN,4375 ROBERTS RD,COLUMBUS,40.0019969,-83.1128223
LION'S DEN - BEXLEY RETAIL 47 LLC,1144 ALUM CREEK DR,COLUMBUS,39.9458573,-82.9447888
LIVINGSTON EXXON,2097 E LIVINGSTON AVE,COLUMBUS,39.9481452,-82.9408681
LIVINGSTON SUNOCO,3172 E LIVINGSTON AVE,COLUMBUS,39.946775,-82.912017
LOCKBOURNE MART,1119 LOCKBOURNE RD,COLUMBUS,39.9428375,-82.9638463
LOCKBOURNE MOBIL,1509 LOCKBOURNE RD,COLUMBUS,39.934718,-82.964518
LOCKBOURNE SUNOCO,1711 LOCKBOURNE RD,COLUMBUS,39.930396,-82.964876
M & J CARRYOUT,1958 SULLIVANT AVE,COLUMBUS,39.947883,-83.050663
M & M MARKET & CARRYOUT,1596 OAKLAND PARK AVE,COLUMBUS,40.0317531,-82.9705032
M & S CARRYOUT,590 GEORGESVILLE RD,COLUMBUS,39.940573,-83.1120544
M EXPRESS MARKET,2305 W BROAD ST,COLUMBUS,39.955319,-83.0617327
MAIZE MARKET,3310 MAIZE RD,COLUMBUS,40.03279,-82.9891945
MANGOS,21 SMITH PL,COLUMBUS,39.9879726,-83.0063228
MANOR CARRYOUT,579-81 WEDGEWOOD DR,COLUMBUS,39.9325237,-83.0966928
MAPLE MARKET,5709 MAPLE CANYON AVE,COLUMBUS,40.0854486,-82.960898
MARATHON,3464 SULLIVANT AVE,COLUMBUS,39.9428899,-83.0913908
MARATHON EXPRESS,3434 PARSONS AVE,COLUMBUS,39.8922923,-82.9867789
MEIJER GAS STATION #58,6155 SAWMILL RD,DUBLIN,40.1061976,-83.0911933
MEISTER'S BAR,1168 CHAMBERS RD,COLUMBUS,39.9937254,-83.0393772
MI FAMILIA MARKET,2331 W BROAD ST,COLUMBUS,39.9554183,-83.062358
MIDNIGHT HOOKAH,1167 MT PLEASANT AVE,COLUMBUS,39.9863206,-83.0043625
MIKE'S MARKET,3327-29 MAIZE RD,COLUMBUS,40.0327523,-82.9895635
MK 57 VAPE,2602 HILLIARD ROME RD,HILLIARD,40.0091354,-83.1535903
MOBIL MART,2635 W BROAD ST,COLUMBUS,39.9550127,-83.0709733
MOBILE MART,830 PARSONS AVE,COLUMBUS,39.9468196,-82.9823282
MOBILE MART,2835 WESTERVILLE RD,COLUMBUS,40.0256459,-82.9613191
MORSE QUICK MART,1570 MORSE RD,COLUMBUS,40.060974,-82.9777541
MOUND STREET GULF,1102 W MOUND ST,COLUMBUS,39.947939,-83.028141
MOUND STREET MARKET,1690 W MOUND ST,COLUMBUS,39.9441809,-83.0428579
MOZ MOZ,2700 N HIGH ST,COLUMBUS,40.017453,-83.012041
N & N SUPERMARKET,2240 SULLIVANT AVE,COLUMBUS,39.946386,-83.058636
N HIGH BP,5385 N HIGH ST,COLUMBUS,40.072551,-83.019079
NEPALI BAZAAR,1782 MORSE RD,COLUMBUS,40.0618791,-82.9717998
NEPALI CHOK,2049 MORSE RD,COLUMBUS,40.0596129,-82.9644817
NEPALI MART,1480 MORSE RD,COLUMBUS,40.0617033,-82.9798489
NEW BOTTLE CAP BEVERAGE,3020 E LIVINGSTON AVE,COLUMBUS,39.946965,-82.915816
NEW YORK MARKET,3307 SULLIVANT AVE,COLUMBUS,39.9429571,-83.0869084
NIELSONS,3 NATIONWIDE PLZ,COLUMBUS,39.9671398,-83.0029234
NOE BIXBY DRIVE THRU,2960 NOE BIXBY RD,COLUMBUS,39.9332723,-82.8619446
NOE BIXBY MARATHON,4755 REFUGEE RD,COLUMBUS,39.921866,-82.8641554
NORTH BROADWAY SUNOCO,700 E NORTH BROADWAY ST,COLUMBUS,40.031131,-82.995661
NORTH CAMPUS FOOD MART,2424 N HIGH ST,COLUMBUS,40.0117783,-83.0101176
NORTH LINDEN MARKET,1580 JOYCE AVE,COLUMBUS,39.9987303,-82.9656143
NORTHWEST WINE & SPIRITS,821 BETHEL RD,COLUMBUS,40.060842,-83.0420963
NORTON MARATHON,385 NORTON RD,COLUMBUS,39.9437267,-83.1417556
NORTON SUNOCO,552 NORTON RD,COLUMBUS,39.9396349,-83.1430185
ONE STOP MARKET,1447 S HAMILTON RD,COLUMBUS,40.0755412,-82.8538336
PALMER'S BEVERAGE CENTER,3375 INDIANOLA AVE,COLUMBUS,40.0180487,-83.0020231
PARADISE DRIVE THRU,1540 W MOUND ST,COLUMBUS,39.9448606,-83.0394224
PARADISE SMOKE N VAPE,2127 HILLIARD  ROME RD,HILLIARD,40.0091354,-83.1535903
PARKVILLE MARKET,5705 PARKVILLE ST,COLUMBUS,40.0853498,-82.9569496
PARKWOOD MARKET,2207 PARKWOOD AVE,COLUMBUS,40.013076,-82.956626
PEPPERS,4300 MACSWAY AVE,COLUMBUS,39.9237105,-82.8823835
PILOT TRAVEL CENTER #213,3600 INTERCHANGE RD,COLUMBUS,39.9730242,-83.099919
PJ'S DRIVE THRU,1973 HARD RD,COLUMBUS,40.1168467,-83.0683321
PLAZA FOOD,1050 MT VERNON AVE,COLUMBUS,39.9720716,-82.9742007
PUFF CRAZE,2792 STELZER RD,COLUMBUS,40.0294514,-82.9105071
QUARRY MARKET,2954 MCKINLEY AVE,COLUMBUS,39.9860105,-83.0751815
QUENCHING CAVERNS,5250 GODOWN RD,COLUMBUS,40.0651361,-83.0564409
QUICK & EASY MART,4197 CLEVELAND AVE,COLUMBUS,40.0548677,-82.9537756
REFUGEE FOOD MART,3877 REFUGEE RD,COLUMBUS,39.9161118,-82.8923508
RIDE N GO,2618 HILLIARD ROME RD,HILLIARD,40.0091354,-83.1535903
ROBERTS ROAD MARATHON,4400 ROBERTS RD,COLUMBUS,40.002233,-83.113865
ROYAL MARKET,436 N CHAMPION AVE,COLUMBUS,39.9749927,-82.9683371
SAHARA SHI-SHA CAFE,20 E ARCADIA AVE,COLUMBUS,40.017882,-83.0116269
SALLY'S MARKET,740 SULLIVANT AVE,COLUMBUS,39.953761,-83.019229
SAM'S CARRY OUT,860 N CASSADY AVE,COLUMBUS,39.9881257,-82.9307923
